page_type,column,layout
100,6,"[[0, 0, 3, 12, 2], [3, 0, 3, 12, 2], '3단통']"
101,6,"[[0, 0, 3, 12, 2], [3, 0, 3, 12, 2], '3단통']"
100,7,"[[0, 0, 4, 12], [4, 0, 3, 12, 3], '3단통']"
101,7,"[[0, 0, 4, 12], [4, 0, 3, 12, 3], '3단통']"
100,6,"[[0, 0, 4, 12, 2], [4, 0, 2, 12, 2], '3단통']"
101,6,"[[0, 0, 4, 12, 2], [4, 0, 2, 12, 2], '3단통']"
100,7,"[[0, 0, 4, 12, 2], [4, 0, 3, 12, 2], '3단통']"
100,7,"[[0, 0, 5, 12], [5, 0, 2, 12, 2], '3단통']"
101,7,"[[0, 0, 5, 12], [5, 0, 2, 12, 2], '3단통']"
100,6,"[[0, 0, 5, 7], [5, 0, 1, 7], [0, 7, 3, 5], [3, 7, 3, 5], '3단통']"
101,6,"[[0, 0, 5, 7], [5, 0, 1, 7], [0, 7, 3, 5], [3, 7, 3, 5], '3단통']"
100,7,"[[0, 0, 5, 7], [5, 0, 2, 12, 3], [0, 7, 2, 5], [2, 7, 3, 5], '3단통']"
100,7,"[[0, 0, 5, 12, 2], [5, 0, 2, 12, 3], '3단통']"
101,7,"[[0, 0, 5, 12, 2], [5, 0, 2, 12, 3], '3단통']"
100,6,"[[0, 0, 6, 7], [0, 7, 2, 5], [2, 7, 2, 5], [4, 7, 2, 5], '3단통']"
101,6,"[[0, 0, 6, 7], [0, 7, 2, 5], [2, 7, 2, 5], [4, 7, 2, 5], '3단통']"
100,6,"[[0, 0, 6, 12, 2], '3단통']"
101,6,"[[0, 0, 6, 12, 2], '3단통']"
100,7,"[[0, 0, 7, 12], '3단통']"
101,7,"[[0, 0, 7, 12], '3단통']"
101,6,"[[0, 0, 3, 12], [3, 0, 3, 12, 4], '3단통']"
101,6,"[[0, 0, 3, 12], [3, 0, 3, 12], '3단통']"
100,7,"[[0, 0, 7, 7], [0, 7, 5, 5], [5, 7, 2, 5], '3단통']"
100,7,"[[0, 0, 7, 12, 2], '3단통']"
101,7,"[[0, 0, 7, 12, 2], '3단통']"
100,6,"[[0, 0, 3, 12], [3, 0, 3, 12], '3단통']"
100,7,"[[0, 0, 5, 11, 3], [5, 0, 2, 11, 3], '4단통']"
100,7,"[[0, 0, 5, 6], [5, 0, 2, 11, 2], [0, 6, 3, 5], [3, 6, 2, 5], '4단통']"
101,7,"[[0, 0, 5, 6], [5, 0, 2, 11, 2], [0, 6, 3, 5], [3, 6, 2, 5], '4단통']"
100,7,"[[0, 0, 5, 11, 2], [5, 0, 2, 11, 2], '4단통']"
