korean_name,english,category,font_family,font,font_size,text_color,alignment,tracking,space_width,scale,text_line_spacing,space_before_in_lines,space_after_in_lines,text_height_in_lines,box_attributes,markup,graphic_attributes,publication_id,created_at
뉴스라인_제목,news_line_title,,KoPub돋움체_Pro Medium,KoPubDotumPM,13.0,"CMYK=0,0,0,100",left,-0.5,3.0,100.0,,,,,"","","",1,2019-11-14 19:17:28 +0900
편집자주,editor_note,,KoPub돋움체_Pro Medium,KoPubDotumPM,8.8,"CMYK=0,0,0,80",left,-0.3,3.0,100.0,,,,,"","","",1,2019-11-14 19:17:28 +0900
연결기사,linked_story,,KoPub돋움체_Pro Medium,KoPubDotumPM,9.0,"CMYK=0,0,0,100",right,0.0,2.0,100.0,,0,,,"","","",1,2019-11-14 19:17:28 +0900
시론문패,subject_head_editorial,,KoPub돋움체_Pro Bold,KoPubDotumPB,12.0,"CMYK=0,0,0,100",left,0.0,3.0,100.0,,0,1,1,"","","{""token_union_style""=>{""stroke_width""=>3, ""stroke_sides""=>[0, 1, 0, 0], ""top_line_space""=>8}}",1,2019-11-14 19:17:28 +0900
사진출처,source,,KoPub돋움체_Pro Light,KoPubDotumPL,8.5,"CMYK=0,0,0,100",right,-0.2,0.0,60.0,,,,,"","","",1,2019-11-14 19:17:28 +0900
사진제목,caption_title,,KoPub돋움체_Pro Bold,KoPubDotumPB,9.0,"CMYK=0,0,0,100",left,-0.2,0.0,100.0,,,,,"","","",1,2019-11-14 19:17:28 +0900
사진설명,caption,,KoPub돋움체_Pro Light,KoPubDotumPL,8.5,"CMYK=0,0,0,100",justified,-0.3,0.0,100.0,,,,,"","","",1,2019-11-14 19:17:28 +0900
본문중제,running_head,,KoPub돋움체_Pro Medium,KoPubDotumPM,9.6,"CMYK=0,0,0,100",left,-0.2,3.0,100.0,,1,,,"","","",1,2019-11-14 19:17:28 +0900
본문명조,body,,Shinmoon,Shinmoon,9.8,"CMYK=0,0,0,100",justified,-0.4,3.0,100.0,,,,,"","","",1,2019-11-14 19:17:28 +0900
본문고딕,body_gothic,,KoPub돋움체_Pro Medium,KoPubDotumPM,9.6,"CMYK=0,0,0,100",justified,-0.2,3.0,100.0,,1,,,"","","",1,2019-11-14 19:17:28 +0900
논설기자,reporter_editorial,,KoPub돋움체_Pro Light,KoPubDotumPL,9.4,"CMYK=0,0,0,100",right,0.0,2.0,100.0,,1,,,"","","{""token_union_style""=>{""stroke_width""=>1.5, ""stroke_sides""=>[0, 1, 0, 0], ""top_line_space""=>5}}",1,2019-11-14 19:17:28 +0900
안내문2단,announcement_2,,,KoPubDotumPM,9.6,"CMYK=0,0,0,0",left,-0.5,6.0,100.0,,2,0,1,"","","",1,2019-11-14 19:17:28 +0900
안내문1단,announcement_1,,,KoPubDotumPM,12.0,"CMYK=0,0,0,0",left,-0.5,6.0,100.0,,2,0,1,"","","",1,2019-11-14 19:17:28 +0900
기자명,reporter,,KoPub돋움체_Pro Light,KoPubDotumPL,8.0,"CMYK=0,0,0,100",right,0.0,2.0,100.0,,0,,,"","","",1,2019-11-14 19:17:28 +0900
애드_브랜드명,brand_name,,KoPub돋움체_Pro Medium,KoPubDotumPM,13.0,"CMYK=0,0,0,100",center,-0.5,3.0,100.0,,,,,"","","",1,2019-11-14 19:17:28 +0900
