page_type,column,layout
0,6,"['15단통']"
0,7,"['15단통']"
0,6,"[[0, 0, 3, 12, 2], [3, 0, 3, 12, 3], '3단통']"
0,7,"[[0, 0, 4, 12, 2], [4, 0, 3, 12, 3], '3단통']"
0,7,"[[0, 0, 5, 12, 2], [5, 0, 2, 12, 3], '3단통']"
0,6,"[[0, 0, 3, 11, 2], [3, 0, 3, 11, 3], '4단통']"
0,7,"[[0, 0, 4, 11, 2], [4, 0, 3, 11, 3], '4단통']"
0,7,"[[0, 0, 5, 11, 2], [5, 0, 2, 11, 3], '4단통']"
0,6,"[[0, 0, 4, 10, 2], [4, 0, 2, 10, 3], '5단통']"
0,7,"[[0, 0, 4, 10, 2], [4, 0, 3, 10, 3], '5단통']"
0,7,"[[0, 0, 5, 10, 2], [5, 0, 2, 10, 3], '5단통']"
1,7,"[[0, 0, 5, 10, 3], [5, 0, 2, 10, 3], '5단통']"
1,6,"[[0, 0, 2, 15, 5], [2, 0, 2, 15, 5], [4, 0, 2, 15, 5], '광고없음']"
1,7,"[[0, 0, 3, 15, 4], [3, 0, 4, 6], '9단21']"
